Character,Count,Unicode,FontSize,FontWebName,Width,Height,ImagePath,ForegroundColor,BackgroundColor,TextAlignment,CalculatedWidth,CalculatedHeight
ء,126237,1569,12,NafeesWebNaskh,32,32,./CharacterImages/Naskh/Size_12/Batch_0/Character_1569.jpg,Black,White,Center,12,24
آ,490267,1570,12,NafeesWebNaskh,32,32,./CharacterImages/Naskh/Size_12/Batch_0/Character_1570.jpg,Black,White,Center,10,24
ا,33058109,1575,12,NafeesWebNaskh,32,32,./CharacterImages/Naskh/Size_12/Batch_0/Character_1575.jpg,Black,White,Center,9,24
ب,6713577,1576,12,NafeesWebNaskh,32,32,./CharacterImages/Naskh/Size_12/Batch_0/Character_1576.jpg,Black,White,Center,19,24
ت,8539383,1578,12,NafeesWebNaskh,32,32,./CharacterImages/Naskh/Size_12/Batch_0/Character_1578.jpg,Black,White,Center,19,24
ث,306706,1579,12,NafeesWebNaskh,32,32,./CharacterImages/Naskh/Size_12/Batch_0/Character_1579.jpg,Black,White,Center,19,24
ج,3996654,1580,12,NafeesWebNaskh,32,32,./CharacterImages/Naskh/Size_12/Batch_0/Character_1580.jpg,Black,White,Center,14,24
ح,2214477,1581,12,NafeesWebNaskh,32,32,./CharacterImages/Naskh/Size_12/Batch_0/Character_1581.jpg,Black,White,Center,14,24
خ,1904329,1582,12,NafeesWebNaskh,32,32,./CharacterImages/Naskh/Size_12/Batch_0/Character_1582.jpg,Black,White,Center,14,24
د,6790208,1583,12,NafeesWebNaskh,32,32,./CharacterImages/Naskh/Size_12/Batch_0/Character_1583.jpg,Black,White,Center,12,24
ذ,283825,1584,12,NafeesWebNaskh,32,32,./CharacterImages/Naskh/Size_12/Batch_0/Character_1584.jpg,Black,White,Center,12,24
ر,18666015,1585,12,NafeesWebNaskh,32,32,./CharacterImages/Naskh/Size_12/Batch_0/Character_1585.jpg,Black,White,Center,10,24
ز,2669947,1586,12,NafeesWebNaskh,32,32,./CharacterImages/Naskh/Size_12/Batch_0/Character_1586.jpg,Black,White,Center,10,24
س,9184890,1587,12,NafeesWebNaskh,32,32,./CharacterImages/Naskh/Size_12/Batch_0/Character_1587.jpg,Black,White,Center,21,24
ش,2899969,1588,12,NafeesWebNaskh,32,32,./CharacterImages/Naskh/Size_12/Batch_0/Character_1588.jpg,Black,White,Center,21,24
ص,1410806,1589,12,NafeesWebNaskh,32,32,./CharacterImages/Naskh/Size_12/Batch_0/Character_1589.jpg,Black,White,Center,23,24
ض,504649,1590,12,NafeesWebNaskh,32,32,./CharacterImages/Naskh/Size_12/Batch_0/Character_1590.jpg,Black,White,Center,23,24
ط,956066,1591,12,NafeesWebNaskh,32,32,./CharacterImages/Naskh/Size_12/Batch_0/Character_1591.jpg,Black,White,Center,18,24
ظ,531900,1592,12,NafeesWebNaskh,32,32,./CharacterImages/Naskh/Size_12/Batch_0/Character_1592.jpg,Black,White,Center,18,24
ع,3108657,1593,12,NafeesWebNaskh,32,32,./CharacterImages/Naskh/Size_12/Batch_0/Character_1593.jpg,Black,White,Center,15,24
غ,389485,1594,12,NafeesWebNaskh,32,32,./CharacterImages/Naskh/Size_12/Batch_0/Character_1594.jpg,Black,White,Center,15,24
ف,3170845,1601,12,NafeesWebNaskh,32,32,./CharacterImages/Naskh/Size_12/Batch_0/Character_1601.jpg,Black,White,Center,19,24
ق,2695504,1602,12,NafeesWebNaskh,32,32,./CharacterImages/Naskh/Size_12/Batch_0/Character_1602.jpg,Black,White,Center,15,24
ك,5434,1603,12,NafeesWebNaskh,32,32,./CharacterImages/Naskh/Size_12/Batch_0/Character_1603.jpg,Black,White,Center,19,24
ل,9757316,1604,12,NafeesWebNaskh,32,32,./CharacterImages/Naskh/Size_12/Batch_0/Character_1604.jpg,Black,White,Center,15,24
م,13145521,1605,12,NafeesWebNaskh,32,32,./CharacterImages/Naskh/Size_12/Batch_0/Character_1605.jpg,Black,White,Center,12,24
ن,14644153,1606,12,NafeesWebNaskh,32,32,./CharacterImages/Naskh/Size_12/Batch_0/Character_1606.jpg,Black,White,Center,15,24
ه,2049,1607,12,NafeesWebNaskh,32,32,./CharacterImages/Naskh/Size_12/Batch_0/Character_1607.jpg,Black,White,Center,11,24
و,15446671,1608,12,NafeesWebNaskh,32,32,./CharacterImages/Naskh/Size_12/Batch_0/Character_1608.jpg,Black,White,Center,11,24
ى,0,1609,12,NafeesWebNaskh,32,32,./CharacterImages/Naskh/Size_12/Batch_0/Character_1609.jpg,Black,White,Center,17,24
ٹ,3308239,1657,12,NafeesWebNaskh,32,32,./CharacterImages/Naskh/Size_12/Batch_0/Character_1657.jpg,Black,White,Center,19,24
پ,4784591,1662,12,NafeesWebNaskh,32,32,./CharacterImages/Naskh/Size_12/Batch_0/Character_1662.jpg,Black,White,Center,19,24
چ,1481519,1670,12,NafeesWebNaskh,32,32,./CharacterImages/Naskh/Size_12/Batch_0/Character_1670.jpg,Black,White,Center,15,24
ڈ,1499695,1672,12,NafeesWebNaskh,32,32,./CharacterImages/Naskh/Size_12/Batch_0/Character_1672.jpg,Black,White,Center,12,24
ډ,0,1673,12,NafeesWebNaskh,32,32,./CharacterImages/Naskh/Size_12/Batch_0/Character_1673.jpg,Black,White,Center,12,24
ڎ,0,1678,12,NafeesWebNaskh,32,32,./CharacterImages/Naskh/Size_12/Batch_0/Character_1678.jpg,Black,White,Center,12,24
ڑ,545371,1681,12,NafeesWebNaskh,32,32,./CharacterImages/Naskh/Size_12/Batch_0/Character_1681.jpg,Black,White,Center,10,24
ژ,26556,1688,12,NafeesWebNaskh,32,32,./CharacterImages/Naskh/Size_12/Batch_0/Character_1688.jpg,Black,White,Center,10,24
ک,18219702,1705,12,NafeesWebNaskh,32,32,./CharacterImages/Naskh/Size_12/Batch_0/Character_1705.jpg,Black,White,Center,19,24
ڪ,0,1706,12,NafeesWebNaskh,32,32,./CharacterImages/Naskh/Size_12/Batch_0/Character_1706.jpg,Black,White,Center,26,24
گ,3448530,1711,12,NafeesWebNaskh,32,32,./CharacterImages/Naskh/Size_12/Batch_0/Character_1711.jpg,Black,White,Center,19,24
ں,5549183,1722,12,NafeesWebNaskh,32,32,./CharacterImages/Naskh/Size_12/Batch_0/Character_1722.jpg,Black,White,Center,15,24
ھ,2887905,1726,12,NafeesWebNaskh,32,32,./CharacterImages/Naskh/Size_12/Batch_0/Character_1726.jpg,Black,White,Center,14,24
ہ,11608774,1729,12,NafeesWebNaskh,32,32,./CharacterImages/Naskh/Size_12/Batch_0/Character_1729.jpg,Black,White,Center,11,24
