Character,Count,Unicode,FontSize,FontWebName,Width,Height,ImagePath,ForegroundColor,BackgroundColor,TextAlignment,CalculatedWidth,CalculatedHeight
ء,126237,1569,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_1569.jpg,Black,White,Center,11,25
آ,490267,1570,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_1570.jpg,Black,White,Center,9,25
ا,33058109,1575,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_1575.jpg,Black,White,Center,8,25
ب,6713577,1576,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_1576.jpg,Black,White,Center,19,25
ت,8539383,1578,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_1578.jpg,Black,White,Center,19,25
ث,306706,1579,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_1579.jpg,Black,White,Center,19,25
ج,3996654,1580,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_1580.jpg,Black,White,Center,15,25
ح,2214477,1581,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_1581.jpg,Black,White,Center,16,25
خ,1904329,1582,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_1582.jpg,Black,White,Center,16,25
د,6790208,1583,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_1583.jpg,Black,White,Center,10,25
ذ,283825,1584,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_1584.jpg,Black,White,Center,10,25
ر,18666015,1585,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_1585.jpg,Black,White,Center,11,25
ز,2669947,1586,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_1586.jpg,Black,White,Center,11,25
س,9184890,1587,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_1587.jpg,Black,White,Center,20,25
ش,2899969,1588,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_1588.jpg,Black,White,Center,20,25
ص,1410806,1589,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_1589.jpg,Black,White,Center,21,25
ض,504649,1590,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_1590.jpg,Black,White,Center,21,25
ط,956066,1591,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_1591.jpg,Black,White,Center,11,25
ظ,531900,1592,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_1592.jpg,Black,White,Center,11,25
ع,3108657,1593,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_1593.jpg,Black,White,Center,16,25
غ,389485,1594,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_1594.jpg,Black,White,Center,15,25
ف,3170845,1601,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_1601.jpg,Black,White,Center,20,25
ق,2695504,1602,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_1602.jpg,Black,White,Center,15,25
ك,5434,1603,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_1603.jpg,Black,White,Center,20,25
ل,9757316,1604,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_1604.jpg,Black,White,Center,16,25
